params	scores
{'svm__C': 100, 'vect__min_df': 10, 'vect__ngram_range': (1, 1)}	0.75625
{'svm__C': 100, 'vect__min_df': 10, 'vect__ngram_range': (1, 2)}	0.7875
{'svm__C': 100, 'vect__min_df': 10, 'vect__ngram_range': (2, 2)}	0.78125
{'svm__C': 1000, 'vect__min_df': 3, 'vect__ngram_range': (1, 1)}	0.79375
{'svm__C': 1000, 'vect__min_df': 3, 'vect__ngram_range': (1, 2)}	0.76875
{'svm__C': 1000, 'vect__min_df': 3, 'vect__ngram_range': (2, 2)}	0.7875
{'svm__C': 1000, 'vect__min_df': 4, 'vect__ngram_range': (1, 1)}	0.7875
{'svm__C': 1000, 'vect__min_df': 4, 'vect__ngram_range': (1, 2)}	0.78125
{'svm__C': 1000, 'vect__min_df': 4, 'vect__ngram_range': (2, 2)}	0.76875
{'svm__C': 1000, 'vect__min_df': 5, 'vect__ngram_range': (1, 1)}	0.76875
{'svm__C': 1000, 'vect__min_df': 5, 'vect__ngram_range': (1, 2)}	0.775
{'svm__C': 1000, 'vect__min_df': 5, 'vect__ngram_range': (2, 2)}	0.775
{'svm__C': 1000, 'vect__min_df': 6, 'vect__ngram_range': (1, 1)}	0.7875
{'svm__C': 1000, 'vect__min_df': 6, 'vect__ngram_range': (1, 2)}	0.7875
{'svm__C': 1000, 'vect__min_df': 6, 'vect__ngram_range': (2, 2)}	0.78125
{'svm__C': 1000, 'vect__min_df': 7, 'vect__ngram_range': (1, 1)}	0.78125
{'svm__C': 1000, 'vect__min_df': 7, 'vect__ngram_range': (1, 2)}	0.8
{'svm__C': 1000, 'vect__min_df': 7, 'vect__ngram_range': (2, 2)}	0.76875
{'svm__C': 1000, 'vect__min_df': 8, 'vect__ngram_range': (1, 1)}	0.775
{'svm__C': 1000, 'vect__min_df': 8, 'vect__ngram_range': (1, 2)}	0.7875
{'svm__C': 1000, 'vect__min_df': 8, 'vect__ngram_range': (2, 2)}	0.775
{'svm__C': 1000, 'vect__min_df': 9, 'vect__ngram_range': (1, 1)}	0.775
{'svm__C': 1000, 'vect__min_df': 9, 'vect__ngram_range': (1, 2)}	0.7875
{'svm__C': 1000, 'vect__min_df': 9, 'vect__ngram_range': (2, 2)}	0.76875
{'svm__C': 1000, 'vect__min_df': 10, 'vect__ngram_range': (1, 1)}	0.75625
{'svm__C': 1000, 'vect__min_df': 10, 'vect__ngram_range': (1, 2)}	0.7875
{'svm__C': 1000, 'vect__min_df': 10, 'vect__ngram_range': (2, 2)}	0.78125
