params	scores
{'lr__C': 10, 'vect__min_df': 4, 'vect__ngram_range': (1, 2)}	0.75625
{'lr__C': 10, 'vect__min_df': 4, 'vect__ngram_range': (2, 2)}	0.74375
{'lr__C': 10, 'vect__min_df': 5, 'vect__ngram_range': (1, 1)}	0.775
{'lr__C': 10, 'vect__min_df': 5, 'vect__ngram_range': (1, 2)}	0.7625
{'lr__C': 10, 'vect__min_df': 5, 'vect__ngram_range': (2, 2)}	0.75
{'lr__C': 10, 'vect__min_df': 6, 'vect__ngram_range': (1, 1)}	0.78125
{'lr__C': 10, 'vect__min_df': 6, 'vect__ngram_range': (1, 2)}	0.775
{'lr__C': 10, 'vect__min_df': 6, 'vect__ngram_range': (2, 2)}	0.75625
{'lr__C': 10, 'vect__min_df': 7, 'vect__ngram_range': (1, 1)}	0.76875
{'lr__C': 10, 'vect__min_df': 7, 'vect__ngram_range': (1, 2)}	0.78125
{'lr__C': 10, 'vect__min_df': 7, 'vect__ngram_range': (2, 2)}	0.775
{'lr__C': 10, 'vect__min_df': 8, 'vect__ngram_range': (1, 1)}	0.775
{'lr__C': 10, 'vect__min_df': 8, 'vect__ngram_range': (1, 2)}	0.75625
{'lr__C': 10, 'vect__min_df': 8, 'vect__ngram_range': (2, 2)}	0.7625
{'lr__C': 10, 'vect__min_df': 9, 'vect__ngram_range': (1, 1)}	0.775
{'lr__C': 10, 'vect__min_df': 9, 'vect__ngram_range': (1, 2)}	0.7625
{'lr__C': 10, 'vect__min_df': 9, 'vect__ngram_range': (2, 2)}	0.76875
{'lr__C': 10, 'vect__min_df': 10, 'vect__ngram_range': (1, 1)}	0.775
{'lr__C': 10, 'vect__min_df': 10, 'vect__ngram_range': (1, 2)}	0.75625
{'lr__C': 10, 'vect__min_df': 10, 'vect__ngram_range': (2, 2)}	0.7625
{'lr__C': 100, 'vect__min_df': 3, 'vect__ngram_range': (1, 1)}	0.78125
{'lr__C': 100, 'vect__min_df': 3, 'vect__ngram_range': (1, 2)}	0.7625
{'lr__C': 100, 'vect__min_df': 3, 'vect__ngram_range': (2, 2)}	0.76875
{'lr__C': 100, 'vect__min_df': 4, 'vect__ngram_range': (1, 1)}	0.7875
{'lr__C': 100, 'vect__min_df': 4, 'vect__ngram_range': (1, 2)}	0.775
{'lr__C': 100, 'vect__min_df': 4, 'vect__ngram_range': (2, 2)}	0.75625
{'lr__C': 100, 'vect__min_df': 5, 'vect__ngram_range': (1, 1)}	0.7625
{'lr__C': 100, 'vect__min_df': 5, 'vect__ngram_range': (1, 2)}	0.775
{'lr__C': 100, 'vect__min_df': 5, 'vect__ngram_range': (2, 2)}	0.775
{'lr__C': 100, 'vect__min_df': 6, 'vect__ngram_range': (1, 1)}	0.775
