params	results
{'B': 100, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 6}	0.74375
{'B': 100, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 7}	0.76875
{'B': 100, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 8}	0.74375
{'B': 100, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 9}	0.75
{'B': 100, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 10}	0.7625
{'B': 100, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 5}	0.73125
{'B': 100, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 6}	0.7375
{'B': 100, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 7}	0.7375
{'B': 100, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 8}	0.74375
{'B': 100, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 9}	0.74375
{'B': 100, 'min_freq': 7, 'min_max': (1, 2), 'min_n': 10}	0.7625
{'B': 100, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 5}	0.74375
{'B': 100, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 6}	0.725
{'B': 100, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 7}	0.75
{'B': 100, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 8}	0.73125
{'B': 100, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 9}	0.7375
{'B': 100, 'min_freq': 7, 'min_max': (2, 2), 'min_n': 10}	0.7125
{'B': 100, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 5}	0.7125
{'B': 100, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 6}	0.71875
{'B': 100, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 7}	0.73125
{'B': 100, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 8}	0.74375
{'B': 100, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 9}	0.71875
{'B': 100, 'min_freq': 8, 'min_max': (1, 1), 'min_n': 10}	0.74375
{'B': 100, 'min_freq': 8, 'min_max': (1, 2), 'min_n': 5}	0.75625
{'B': 100, 'min_freq': 8, 'min_max': (1, 2), 'min_n': 6}	0.7375
{'B': 100, 'min_freq': 8, 'min_max': (1, 2), 'min_n': 7}	0.75625
{'B': 100, 'min_freq': 8, 'min_max': (1, 2), 'min_n': 8}	0.74375
{'B': 100, 'min_freq': 8, 'min_max': (1, 2), 'min_n': 9}	0.74375
{'B': 100, 'min_freq': 8, 'min_max': (1, 2), 'min_n': 10}	0.74375
{'B': 100, 'min_freq': 8, 'min_max': (2, 2), 'min_n': 5}	0.7625
{'B': 100, 'min_freq': 8, 'min_max': (2, 2), 'min_n': 6}	0.74375
{'B': 100, 'min_freq': 8, 'min_max': (2, 2), 'min_n': 7}	0.7625
{'B': 100, 'min_freq': 8, 'min_max': (2, 2), 'min_n': 8}	0.75
{'B': 100, 'min_freq': 8, 'min_max': (2, 2), 'min_n': 9}	0.78125
{'B': 100, 'min_freq': 8, 'min_max': (2, 2), 'min_n': 10}	0.73125
{'B': 100, 'min_freq': 9, 'min_max': (1, 1), 'min_n': 5}	0.75625
{'B': 100, 'min_freq': 9, 'min_max': (1, 1), 'min_n': 6}	0.75
{'B': 100, 'min_freq': 9, 'min_max': (1, 1), 'min_n': 7}	0.7375
{'B': 100, 'min_freq': 9, 'min_max': (1, 1), 'min_n': 8}	0.74375
{'B': 100, 'min_freq': 9, 'min_max': (1, 1), 'min_n': 9}	0.75625
{'B': 100, 'min_freq': 9, 'min_max': (1, 1), 'min_n': 10}	0.75625
{'B': 100, 'min_freq': 9, 'min_max': (1, 2), 'min_n': 5}	0.7375
{'B': 100, 'min_freq': 9, 'min_max': (1, 2), 'min_n': 6}	0.75
{'B': 100, 'min_freq': 9, 'min_max': (1, 2), 'min_n': 7}	0.7375
{'B': 100, 'min_freq': 9, 'min_max': (1, 2), 'min_n': 8}	0.75625
{'B': 100, 'min_freq': 9, 'min_max': (1, 2), 'min_n': 9}	0.7625
{'B': 100, 'min_freq': 9, 'min_max': (1, 2), 'min_n': 10}	0.7625
{'B': 100, 'min_freq': 9, 'min_max': (2, 2), 'min_n': 5}	0.725
{'B': 100, 'min_freq': 9, 'min_max': (2, 2), 'min_n': 6}	0.74375
{'B': 100, 'min_freq': 9, 'min_max': (2, 2), 'min_n': 7}	0.7125
{'B': 100, 'min_freq': 9, 'min_max': (2, 2), 'min_n': 8}	0.71875
{'B': 100, 'min_freq': 9, 'min_max': (2, 2), 'min_n': 9}	0.70625
{'B': 100, 'min_freq': 9, 'min_max': (2, 2), 'min_n': 10}	0.70625
{'B': 100, 'min_freq': 10, 'min_max': (1, 1), 'min_n': 5}	0.725
{'B': 100, 'min_freq': 10, 'min_max': (1, 1), 'min_n': 6}	0.73125
{'B': 100, 'min_freq': 10, 'min_max': (1, 1), 'min_n': 7}	0.7375
{'B': 100, 'min_freq': 10, 'min_max': (1, 1), 'min_n': 8}	0.7125
{'B': 100, 'min_freq': 10, 'min_max': (1, 1), 'min_n': 9}	0.71875
{'B': 100, 'min_freq': 10, 'min_max': (1, 1), 'min_n': 10}	0.725
{'B': 100, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 5}	0.73125
{'B': 100, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 6}	0.75625
{'B': 100, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 7}	0.7375
{'B': 100, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 8}	0.725
{'B': 100, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 9}	0.74375
{'B': 100, 'min_freq': 10, 'min_max': (1, 2), 'min_n': 10}	0.76875
{'B': 100, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 5}	0.76875
{'B': 100, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 6}	0.7625
{'B': 100, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 7}	0.75625
{'B': 100, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 8}	0.7625
{'B': 100, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 9}	0.7625
{'B': 100, 'min_freq': 10, 'min_max': (2, 2), 'min_n': 10}	0.74375
{'B': 300, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 5}	0.7
{'B': 300, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 6}	0.73125
{'B': 300, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 7}	0.73125
{'B': 300, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 8}	0.73125
{'B': 300, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 9}	0.7375
{'B': 300, 'min_freq': 3, 'min_max': (1, 1), 'min_n': 10}	0.73125
{'B': 300, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 5}	0.7125
{'B': 300, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 6}	0.7375
{'B': 300, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 7}	0.73125
{'B': 300, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 8}	0.7375
{'B': 300, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 9}	0.74375
{'B': 300, 'min_freq': 3, 'min_max': (1, 2), 'min_n': 10}	0.7375
{'B': 300, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 5}	0.74375
{'B': 300, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 6}	0.76875
{'B': 300, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 7}	0.7375
{'B': 300, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 8}	0.73125
{'B': 300, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 9}	0.73125
{'B': 300, 'min_freq': 3, 'min_max': (2, 2), 'min_n': 10}	0.7625
{'B': 300, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 5}	0.7125
{'B': 300, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 6}	0.7375
{'B': 300, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 7}	0.70625
{'B': 300, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 8}	0.73125
{'B': 300, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 9}	0.725
{'B': 300, 'min_freq': 4, 'min_max': (1, 1), 'min_n': 10}	0.7125
{'B': 300, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 5}	0.74375
{'B': 300, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 6}	0.7375
{'B': 300, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 7}	0.71875
{'B': 300, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 8}	0.74375
{'B': 300, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 9}	0.75
{'B': 300, 'min_freq': 4, 'min_max': (1, 2), 'min_n': 10}	0.71875
{'B': 300, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 5}	0.7375
{'B': 300, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 6}	0.76875
{'B': 300, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 7}	0.75625
{'B': 300, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 8}	0.75
{'B': 300, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 9}	0.725
{'B': 300, 'min_freq': 4, 'min_max': (2, 2), 'min_n': 10}	0.74375
{'B': 300, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 5}	0.73125
{'B': 300, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 6}	0.7375
{'B': 300, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 7}	0.7375
{'B': 300, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 8}	0.725
{'B': 300, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 9}	0.75625
{'B': 300, 'min_freq': 5, 'min_max': (1, 1), 'min_n': 10}	0.76875
{'B': 300, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 5}	0.75
{'B': 300, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 6}	0.7375
{'B': 300, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 7}	0.73125
{'B': 300, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 8}	0.75
{'B': 300, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 9}	0.75
{'B': 300, 'min_freq': 5, 'min_max': (1, 2), 'min_n': 10}	0.75625
{'B': 300, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 5}	0.75
{'B': 300, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 6}	0.7625
{'B': 300, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 7}	0.75
{'B': 300, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 8}	0.74375
{'B': 300, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 9}	0.74375
{'B': 300, 'min_freq': 5, 'min_max': (2, 2), 'min_n': 10}	0.74375
{'B': 300, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 5}	0.7125
{'B': 300, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 6}	0.73125
{'B': 300, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 7}	0.725
{'B': 300, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 8}	0.725
{'B': 300, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 9}	0.74375
{'B': 300, 'min_freq': 6, 'min_max': (1, 1), 'min_n': 10}	0.73125
{'B': 300, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 5}	0.7375
{'B': 300, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 6}	0.75625
{'B': 300, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 7}	0.75625
{'B': 300, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 8}	0.75
{'B': 300, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 9}	0.73125
{'B': 300, 'min_freq': 6, 'min_max': (1, 2), 'min_n': 10}	0.7625
{'B': 300, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 5}	0.75625
{'B': 300, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 6}	0.7375
{'B': 300, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 7}	0.7625
{'B': 300, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 8}	0.7625
{'B': 300, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 9}	0.73125
{'B': 300, 'min_freq': 6, 'min_max': (2, 2), 'min_n': 10}	0.725
{'B': 300, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 5}	0.725
{'B': 300, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 6}	0.7375
{'B': 300, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 7}	0.7625
{'B': 300, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 8}	0.73125
{'B': 300, 'min_freq': 7, 'min_max': (1, 1), 'min_n': 9}	0.74375
